thematic;card;id;bearer;reigning;conditions;lockturn;weight;question;power;faith;people;money;load;override_yes;answer_yes;yes;override_no;answer_no;no
start;_;549;jon;;;;;Loved? I... I understand... Farewell My Queen.;;;;;jonheir_keep;Ride well;;del_jon;No, wait...;;>_1024
start;_;1024;jon;;;;;What is it, My Queen?;;;;;;You're the heir;;>;When will I see you again?;<i>Jon's comforting answer is sweet but you don't believe a word of it. You smile and spend one last night with him.</i>;
start;_;1025;jon;;;;;The Iron Throne is the last thing I desire. Support the North in the war to come. That's all I'm asking of you.;;;;;;I will;;del_jon;Be safe;;del_jon
start;;67;anyone;;;;;Nothing happened, absolutely nothing.;;;;;;Are you certain?;;;I like that;;
start;;269;throne;daenerys;dynasty>0;del;max;Welcome home, Mother of Dragons.;1;;;;;<i>Sit down</i>;<i>You have the strange and unsettling feeling this very moment has already happened... many times. Someone is approaching.</i>;;<i>Run away</i>;<i>You can't run. Someone is coming. You have the strange and unsettling feeling this very moment has already happened... many times.</i>;
start;;270;throne;daenerys;age=0 and dynasty>0;reign;400;Welcome home, Mother of Dragons.;1;;;;;<i>Sit down</i>;<i>You have the strange and unsettling feeling this very moment has already happened... many times. Someone is approaching.</i>;;<i>Run away</i>;<i>You can't run. Someone is coming. You have the strange and unsettling feeling this very moment has already happened... many times.</i>;
start;;296;jaime;tyrion;;del;max;Why did you ask me to be your Hand? You know I don't have one to spare. Is this a joke?;;1;;;;I wouldn't dare;;>;A good one, though;;>
start;_;297;jaime;tyrion;;;;Your wit will get you killed someday, you know that?;;;;;;I need you, Jaime;;>;I'm well aware;;>
start;_;299;jaime;tyrion;;;;The Dothraki Queen made a mistake leaving you in charge. The people want you dead. I cannot forgive you, but I will not let you die.;;;;;;Thank you;;>;I know;;>
start;;298;jaime;tyrion;;600;200;Two brothers to defend the Kingdom, a cripple and an imp, a kingslayer and a kinslayer. Will bards write songs about us?;;;-1;1;;An improvement on the current ones;;;That's why I pay them;;
start;;69;hand;sansa;;del;max;How ironic. Sansa Stark back in King's Landing, but now sitting on the Iron Throne. My dear sister would have hated that.;;1;;;;Where is she?;;>;How did you talk me into this again?;;>_127
start;_;126;hand;sansa;;;;No one knows. Jaime probably had something to do with it, but he too has disappeared.;;;;;;I see;;>;I'm not ready;;>
start;_;127;hand;sansa;;;;The Kingdom needs you, Sansa. The fact Winterfell is still standing is the best proof of your abilities as ruler.;;;;;;Thank you;;;Let's do this;;
start;;70;hand;cersei;;del;max;My Queen, your filthy brother escaped King's Landing with Daenerys and a few Starks. No one expected your return.;1-2;;-1;-2;;Send men after them;;;Let them be;;
;;982;dungeon;arya;;del;max;<i>This is the moment. The Red Keep is sleeping. You stand up and strap Needle to your back.</i>;;;;;;<i>Go left</i>;;>;<i>Go right</i>;;>
;_;983;dungeon;arya;;;;<i>The silence is deafening.</i>;;;;;;<i>Go left</i>;;>;<i>Go right</i>;;>
;_;984;dungeon>stairs;arya;;;;<i>This is it. You can almost hear her breathing.</i>;;;;;;<i>Go up the stairs</i>;;>;<i>Go back</i>;;>_end_keep
start;_;335;cersei;arya;;;;Who are you? What are you doing in my room?;;;;;;You're on my list;<i>You slit the Queen's throat in one effortless motion. The following work is gruesome and tedious, but in the morning you impersonate Cersei perfectly.</i>;kill_cersei and newqueen;I am Arya Stark...;;>_end_arya
start;;336;cersei;arya;;400;max;Arya? The little Lady Arya? But you're dead and forgotten, my dear child.;;;;;;You're on my list;<i>You slit the Queen's throat in one effortless momentum. The following work is gruesome and tedious, but in the morning you impersonate Cersei perfectly.</i>;kill_cersei and newqueen;Maybe I am...;;>_end_arya
start;;337;cersei;arya;;reign;max;I don't fear ghosts. I make them.;;;;;;You're on my list;<i>You slit the Queen's throat in one effortless momentum. The following work is gruesome and tedious, but in the morning you impersonate Cersei perfectly.</i>;kill_cersei and newqueen;I will not kill you...;;>_end_arya
start;_end_arya;338;end>strangled;arya;;;;<i>Distracted by Cersei, you feel too late the impossibly strong hands of the Mountain around your neck.</i>;;;;;;;;;;;
start;;1124;hand;arya;!arya_super;reign;150+30;I heard the strangest of rumors. A septon preaching in Braavos recruiting faceless men to hunt red priests in Westeros.;;-1;;;;Valar dohaeris;;arya_super and >;Interesting;;
;_;1125;hand;;;;;Pardon me?;-1;;1;;;I said more wine!;;>>>morewine;Nothing;;
start;_;13;drogon;daenerys;;;;<i>Drogon lies curled in the dragon pit. The fight with his brother Viserion has left him in a still, deep sleep.</i>;;;;;;Drogon?;<i>He does not stir, not even for you.</i>;;<i>Leave quietly</i>;;
start;;167;sam;jon;has_sam!hand and has_sam!coins;500;11000;Jon! I came as soon as I heard. You're the King now?;2-1;;;;;;;>;I wish I wasn't;;>
start;_;168;sam;jon;;;;<i>He darkens...</i> I heard the news from the North. So many dead.;1;;-2;0-2;;We will fight;;>;We will defend ourselves;;>
start;_;169;sam;jon;;;;If anyone can do it, it's you, Jon. How can I be of service?;1-1;;;-1+1;;Be my Hand;;sam>hand;Just stay around;;
start;;1503;sam;jon;;500;800-100;If I knew a truth that might undo all you believed of yourself, would you want me to tell you?;;-1;2;1;;Of course;;>;Best not;;
start;_;1504;sam;jon;;;;Eddard Stark was not your father. Your parents were Lyanna Stark and Rhaegar Targaryen, who were married before your birth.;;;;;;How?;;>;Impossible;;>
start;_;1505;sam;jon;;;;The records prove it. Ned Stark sacrificed his own honor to protect you, and now your birthright will help you keep the throne!;;;;;jonheir_keep;I finally understand;;;I reject these lies;;
start;endready;451;kingsguard;!lannister;seen_227 and !has_jaime;reign;100+80;Your Highness, an urgent raven from our scouts! Jaime Lannister has been spotted on the Kingsroad. Should we capture him?;;;-1;;;;<i>A few days later, Jaime is brought to the capital and sent to the dungeons.</i>;>;;;
start;_;452;soldier;;;;;Your Highness, we must do something about our Lannister prisoner. His health is declining.;;1;;;;Show me the way;<i>You visit Jaime in his cell.</i>;> and add_jaime and set_dungeon;Let him rot;;
start;_;453;jaime;;;;;Welcome to my own little kingdom, Your Grace. Though I'm afraid its filth might offend your regal nostrils.;;;-1;;;It's ghastly;;>;How are you?;;>
start;_;454;jaime;;;;;Apart from the beatings and the threats to cut off my remaining hand, of I've been enjoying your hospitality immeasurably.;-1;;;;;I need your help;;>;I can help you;;>
start;_lophead;455;jaime;;;;;Just lop my head off now. I will never be your puppet.;;1;1;;;Please hear me out...;<i>You explain that with Cersei gone, Jaime holds the power to unify the Kingdom behind your rule. All it would take is...</i>;>_offerjaime;If you wish;;kill_jaime
start;_offerjaime;456;jaime;male;;;100;Me, Hand of the King? Ha ha, what an active imagination you have. And I'm sure your current Hand is just thrilled about all this.;-2;;;;;<hand>?;;>;The decision is mine;;>_458
start;_;457;hand;;;;;Truth be told, Your Grace, this office ill suits me. I would be happy to step aside, for the good of the realm.;0+1;;;;;Thank you;;>;Good;;>
start;_;458;jaime;;;;;If I agree to be your Hand, you must give Casterly Rock back to me.;-1;;2;-1-2;;;;> and jaime>hand;;;>_jaimebest
start;_;459;jaime;;;;;Very well, Your Grace. I look forward to our new professional relationship.;1;;1;;;Leave;;;Join me for lunch;;
start;_offerjaime;460;jaime;female;;;100;Marriage? You want to marry me? <i>Laughing.</i> Did you hit your head on that Iron Throne?;1;;;;;I have my reasons;;>_jaimeoath;Forget it;;>_jaimebest
start;_offerjaime;461;jaime;sansa;;;max;Marriage? You want to marry me? <i>Laughing.</i> Last I checked, you were married to my brother.;2;;;;;I'm a widow;;>_jaimeoath;Forget it;;>_jaimebest
start;_jaimebest;462;jaime;;;;;Now, please release me. You have my word that I will vanish from the world. None shall hear from me again.;-1+2;;2;;;Go;;;I'm sorry...;;kill_jaime
start;_jaimeoath;463;jaime;;;;;Impossible. You seem to forget I renounced wedlock when I joined the Kingsguard.;;-2;1;;;I revoke your oath;;>;A kingslayer with honor...;;>_jaimebest
start;_;464;jaime;;;;;Do I even have a choice in this?;1;;;;;;;>;;<i>Jaime jumps on the Queensguard on your left. He manages to kill two guards before being overwhelmed.</i>;del_jaime
start;_;465;jaime;;;;;And you? I've heard what you have been through. Is this your wish?;pos;pos;pos;pos;;No, it's my choice;;>_jaimechoice1;No, it's my duty;;>_jaimechoice2
start;_jaimechoice1;466;jaime;;;;;Then I accept.;pos;pos;pos;pos;;Take my hand;;love_jaime and lannister>!antagonist;I changed my mind;;
start;_jaimechoice2;467;jaime;;;;;Then I must decline. I'm tired of this game.;;1;2;1;;I understand;;;You will regret this;;
;;1379;hand;sansa;love_jaime and war>0 and !one_super;50;6000;Your wedding to Jaime will not be possible until we're at peace with all our enemies. Do you wish to attend the small council?;2-1;;1;;;;;>_council_choice;;;
;;1256;hand;sansa;love_jaime and war=0 and !one_super;20;100+5000;Now we're at peace, your wedding with Jaime is a unique opportunity to bring the Seven Kingdoms together.;;2;;;;Let's go over it;;>;Remind me later;;
;_;1257;septon;;;;;We will have a grand ceremony in front of the Seven!;;2+2;;;;;<i>Your decision to marry in front of the Seven was not well received by the Northmen and the Iron Islanders, which further delayed the wedding.</i>;>>516;Not just the Seven;;>
;_;1258;septon;;;;;Pardon me? You want to marry in front of all the gods of Westeros? Blasphemy!;2-1;-2;2-1;1;add_greyjoy;;;>;;;>>516
;_;1259;greyjoy;;;;;Really, all the gods of the Seven Kingdoms? Even the Drowned God?;1;-1;;;;;<i>The High Septon tries his best to change your mind, but your resolve doesn't falter.</i>;add_arya and greyjoy>!antagonist and >;;;>>516
;_;1260;arya;;;;;You did get the shiny Knight of your girlish dreams. A one-handed Lannister traitor, but shiny nonetheless.;;;;;add_martell;Will you do what I asked?;;>;He is different;;>
;_;1261;arya;;;;;He will not be hurt, I promise you. I will be his shadow.;;;;;;Thank you;;>;;;>>
;_;1262;martell_female;;;;;Why should Dorne attend this farce of a wedding? A Lannister funeral, though...;1;;;;unsullied>!antagonist and dothraki>!antagonist;Come closer...;<i>You explain to <martell_female> that this alliance will give you control over the West. The lions will turn to lambs.</i>;martell>!antagonist and >;Enough!;;>534
;_;1264;hand;;;;;Your wedding is tomorrow! A special guest is here to see you.;;;;;add_daenerys;;;>;Who?;;>
;_;1265;daenerys;;;;;Look at you, a true Queen. You did so much more with words than I could have with my armies and my dragons.;;;;;;Why did you leave?;;>;The throne is still yours;;>_1363
;_;1266;daenerys;;;;;Everything changed, dear Sansa. My support for you, though, remains unwavering. Should you need me, I will do all I can.;;;;;one_super;Thank you;;>>>>>>>>_185;Don't leave!;;>>>>>>>>_185
;_;1363;daenerys;;;;;That crown weighs too heavily on me. Like my father before me, I was consumed by it. At last, I too am ready to be free.;;;;;;I understand;;>_1266;I won't make the same errors;;>_1266
;;1751;hand;;war=0 and dynasty>2;600;1000;We can confidently say that the War of the Five Kings is over! We're at peace!;;1;1;1;;Finally!;;;It won't last;;
start;;651;tyrion;daenerys;age>2;del;800;Your first steps as the ruler of Westeros have been hesitant, but I will help you, My Queen.;-1;;1;;;I'm afraid of this city;;>;;;>
start;_;652;tyrion;;;;;King's Landing is a trap, a city of shifting sands that will never let you go.;;;1;-1;;Thank you;<i>After Tyrion leaves the room, you're surprised by a presence right behind your back.</i>;>;Not very useful;<i>After Tyrion leaves the room, you're surprised by a presence right behind your back.</i>;>
start;_;653;varys;;;;;Tyrion is one of the few who deserves to be called a good man.;;;;;;He's a friend;;>;He's conniving;;>
start;_;654;varys;;;;;That's exactly why he would have made a good King.;;-1;-1;1;;;;;;;
walkers;;1178;banker;;horn_super;400;200+50;We know you stole the Horn of Winter from our vaults. This is your one and only chance to return it.;;;;1+1;;;;!horn_super;;;noironbank
walkers;_end_walkers;1771;tyrion;;riders_super and !rhaegalready;reign;max;Rhaegal is ready to attack the Army of the Dead, my Queen. I suggest you target the White Walkers directly.;pos;pos;pos;pos;;;;>_1773;;;>_fullend_walkers
walkers;_end_walkers;1772;sansa;;riders_super and rhaegalready;reign;max;Rhaegal is ready to attack the Army of the Dead, my Queen. I suggest you target the White Walkers directly.;pos;pos;pos;pos;;;;>_1773;;;>_fullend_walkers
walkers;_;1773;military;;;;;The Walkers are dust and ash! They've stopped!! We've survived winter!;;;1;-1;!winter and summer;Let's rejoice;;set_hills;We have much to rebuild;;set_hills
walkers;_end_walkers;1563;crowd;;lightbringer_super;reign;max;<i>The cold wind of winter is running through the shivering armies of Westeros gathered in front of you.</i>;0+1;;;;power=50 and add_varys;Westeros!;;>;My brothers!;;>
walkers;_;1564;crowd;;;;;<i>You carry on.</i> I am a cripple, a traitor, a failure, a monster some would say. I've loved and killed. I am a man.;-1;;;;;I am a King!;;>;You are men too;;>
walkers;_;1565;crowd;;;;;Look at you. Look at your imperfections, your greed and your brutality. No one can excuse that. And yet today...;2;;;;;... you are heroes;;>;... you are nice;;>
walkers;_;1566;crowd;;;;;Today you fight for the beauty of the dawn, for the love of your children, for your brothers, for the stranger, for...;-1;;;;;... your life!!;<i>You brandish your sword over your head.</i>;>;... Westeros!!;<i>You brandish your sword over your head.</i>;>
walkers;_;1567;varys;;;;;Your speech was incredibly moving, but I think you could have skipped it and just shown them the shiny sword.;;;;;;Well...;;>_resulttalkww;Really?;;>_resulttalkww
walkers;_end_walkers;1267;crowd;;one_super;reign;max;<i>Two hundred thousand fighters from every corner of Westeros are gathered in front of you. Yet you do not hear a sound.</i>;2;;;;power=50;Westeros...;;>;My people...;;>
walkers;_;1268;crowd;;;;;<i>You carry on after a pause...</i> Today we let go of our petty squabbles to face the horrors of winter. Today we...;-1;;;;;die!;;>;fight!;;>
walkers;_;1269;crowd;;;;;I want to see Lannisters and the West...;-1;;;;;scream!;;>;roar!;;>
walkers;_;1270;crowd;;;;;I want to see Martells and Dorne...;1;;;;;strike!;;>;attack!;;>
walkers;_;1271;crowd;;;;;I want to see the Iron Islanders...;1;;;;;reave!;;>;shoot!;;>
walkers;_;1272;crowd;;;;;I want to see my beloved Northmen...;-1;;;;dragonww;fight!;;>_resulttalkone;bite!;;>_resulttalkone
walkers;_resulttalkone;1273;crowd;;;;10;Take your positions! Attack the army of the dead! <i>The crowd cheers half-heartedly.</i>;;;;;speech;...;;>_startbatww and set_battle_before;...;;>_startbatww and set_battle_before
walkers;_resulttalkone;1274;crowd;;power>50;;max;Take your positions, use fire and be merciless. Today we are the hunters! <i>The crowd cheers enthusiastically.</i>;;;;;speech;...;;>_startbatww and set_battle_before;...;;>_startbatww and set_battle_before
walkers;_end_walkers;1380;crowd;;alliance_super;reign;max;<i>The joint armies of the North and the South are sprawled before you. The men are waiting for you to talk.</i>;0+1;;;;power=40;Every storm passes...;;>;Every war ends...;;>
walkers;_;1381;crowd;;;;;<i>You carry on...</i> Every tyranny fades away eventually, every Queen or King. Tonight you're not fighting for me.;1;;;;;You fight for Westeros;;>;You fight for yourself;;>
walkers;_;1382;crowd;;;;;You're fighting for something that will stay and grow. You're fighting for life itself.;;;;;add_jon;You...;;>;We...;;>
walkers;_;1383;jon;;;;;You're fighting for mankind! <i>Loud cheers.</i>;1;;;;add_daenerys;<i>Kiss Jon</i>;;>;It's my speech;;>
walkers;_;1384;daenerys;;;;;Join us in the battle to come! <i>Even louder cheers.</i>;1;;;;dragonww;<i>Kiss Daenerys</i>;;>_resulttalkww;Really?;;>_resulttalkww
walkers;_end_walkers;1179;military;;dragonglass_super;reign;max;The hundred thousand men under your command are armed with dragonglass daggers and arrowheads.;;;;;;Good;;>;And?;;>
walkers;_;1180;hand;;;;;The odds are still against us, but these weapons are giving hope to our men.;;;;;;Let me talk to them...;;>;Let's do this;;>_fullend_walkers
walkers;_;1181;crowd;;;;;<i>The core of your army stands before you.</i>;1;;;;nb_goodtalk and power=50;Are you lambs?;;>;Are you lions?;<i>Only the Lannisters troops cheered in response to that awkward question.</i>;>
walkers;_;1182;crowd;;;;;<i>You carry on...</i> Show me your fangs, Westerosi beasts! <i>They brandish their weapons.</i> Tonight we fight with...;1;;;;;fire;;>;steel;<i>Of course steel is pretty useless against the wights and White Walkers.</i>;>
walkers;_;1183;crowd;;;;;And...;-1;;;;;iron;<i>Although that won't make much of a difference against the army of the dead.</i>;>;dragonglass;;>
walkers;_;1184;crowd;;;;;Today we fight with our guts, with our teeth... fueled by the love of our children and our friends, with honor and...;-1;;;;;bravery!;<i>A few Knights started a prayer.</i>;>_resulttalkww;savagery!;;>_resulttalkww
walkers;_resulttalkww;1185;crowd;;;;10;<i>The crowd cheers half-heartedly. The men slowly turn towards the army of the dead that spreads as far as the eye can see.</i>;;;;;speech;...;;>_startbatww and set_battle_before;...;;>_startbatww and set_battle_before
walkers;_resulttalkww;1186;crowd;;power>50;;max;<i>The crowd cheers enthusiastically. The men slowly turn towards the army of the dead that spreads as far as the eye can see.</i>;;;;;speech;...;;>_startbatww and set_battle_before;...;;>_startbatww and set_battle_before
walkers;_end_walkers;1188;hand;;horn_super;reign;max;The White Walkers are approaching our first line of defense. What are your orders?;pos;pos;pos;pos;;Blow the horn!;;>;Retreat;;>_fullend_walkers
walkers;_;1189;walker;;;;;<i>As the Horn of Winter blares, the land of Westeros trembles and splits, and a hundred metallic giants rise from the earth!</i>;;;;;;...;;> and kill_walker;...;;> and kill_walker
walkers;_;1190;hand;;;;;The White Walkers are buried by the earth giants! We have won the war!;;;1;-1;!winter and summer;Let's rejoice;;set_kingslanding;We have much to rebuild;;set_kingslanding
walkers;_end_walkers;1191;military;;valyrian_super;reign;max;We have sighted the army of the dead at the Trident. We're ready as we can be.;pos;pos;pos;pos;;Attack!;;>;Are you sure?;;>_fullend_walkers
walkers;_;1192;walker;;;;;<i>Armed with Valyrian steel, your armies cut deeply through the ranks of the dead, isolating the White Walkers.</i>;;;;;;...;;> and kill_walker;...;;> and kill_walker
walkers;_;1193;military;;;;;We killed the Walkers! We've survived winter!;;;1;-1;!winter and summer;Let's rejoice;;set_hills;We have much to rebuild;;set_hills
walkers;_end_walkers;1194;&pyromancer;;trap_super;reign;max;The army of the dead is going over the Gods Eye icecap as we speak. It's time to trigger the trap!;pos;pos;pos;pos;;FIRE!;<i>On your command, companies scurry around the lake igniting the wildfire, creating an inferno.</i>;> and set_godseye;I have doubts;;>_fullend_walkers
walkers;_;1196;military;;;;;We did it! The White Walkers are reduced to cinders. Their whole army is gone.;;;1;-1;!winter and summer and set_kingslanding;Let's rejoice;;set_kingslanding;We have much to rebuild;;set_kingslanding
walkers;_end_walkers;1197;military;;machines_super;reign;max;All is ready Your Grace. Just give the order.;pos;pos;pos;pos;;FIRE!;;> and add_walker;We're not ready;;>_fullend_walkers
walkers;_;1198;walker;;;;;<i>Thousands of war machines start raining green fire on the army of the dead.</i>;;;;;;...;;> and kill_walker;...;;> and kill_walker
walkers;_;1199;military;;;;;This is a complete victory, Your Grace! The wights took fire like dry leaves.;1+1;;-1+1;;!winter and summer;March on Winterfell;;>>_wintercourt;Regroup in the Capital;;set_kingslanding
;_end_walkers;1487;kingsguard;cersei;;10;10000;I am well and truly cursed, dying in the service of one such as you.;;;;;;Guards!;<i>No one comes. <kingsguard> falls upon his own sword, just as the doors to your throne room begin to crackle with frost.</i>;>;Stand and face them!;<i><kingsguard> falls upon his own sword, just as the doors to your throne room begin to crackle with frost.</i>;>
;_;1488;walker;cersei;;;;<i>The vanguard of the Night King is before you. Paralyzed by fear or magic, you cannot raise the vial of poison to your lips.</i>;0-9;0-9;0-9;0-9;;What...;;> and set_eternity;What...;;> and set_eternity
;_;1489;end>walker;cersei;;;;<i>The cold shock tears your breath away. You will ride with the kings of winter for eternity. At least you keep your crown.</i>;;;;;;;;;;;
walkers;_end_walkers;754;walker;;;;1;<i>You feel a hand as cold as death against your heart. And then the beating stops.</i>;0-9;0-9;0-9;0-9;;What...;;> and set_eternity and !winter;What...;;> and set_eternity and !winter
walkers;_fullend_walkers;755;end>walker;;;;;<i>You will still be here in a thousand years, a wretched wight with a crown, drooling on a rusty throne.</i>;;;;;;;;;;;
walkers;;1200;&maester;;summer;400;max;The long winter is at last at an end! It is time to rejoice, Your Majesty!;0+1;0+1;0+1;0+1;;Wine!;;>>>morewine;;;
walkers;_startbatww;1275;military;;;;;The men are in position. We have spotted the Night King and his three generals. Will you lead the battle?;2-1;;;;;;;>_batww_events and inc_battle;;;>_batww_results
battle;_batww_events;1280;crowd;;;reign;0;<i>The battle unravels in front of you. From every direction, fire and fury are spreading.</i>;;;;;set_battle_after>2;...;;>_batww_results;...;;>_batww_results
battle;_batww_events;1276;military;;;reign;max;<i>The first Walker is surrounded by scores of undead giants, bears and other monstrous creatures. You give your order.</i>;;;;;>_batww_choice;;;;;;
