thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_money;yes_team;yes_market;yes_mind;yes_custom;override_no;answer_no;no_money;no_team;no_market;no_mind;no_custom
power;national_order;11;全国连锁采购;founder_run and turn>=7 and !national_run;del;2300;他要包下三个月产能，条件是独家。;留多个渠道;少赚一点，客户没被一家拿走。;10;6;8;4;national_open_run and national_run;签独家，先收钱;预付款进账，别的渠道关门。;19;-4;15;2;national_cash_run and national_run
payoff;late_payment;12;财务总监;national_run and age_national>=3;del;2700;大客户拖了九十天，电话还在响。;亲自催款;客户分期，第一笔今天到账。;17;-2;-4;4;collect_run and receivable_run;保理拿钱;钱少一点，工资准时。;-7;;;-2;invoice_run and receivable_run
payoff;customer_reorg;13;大客户财务;receivable_run and age_national>=5;del;2500;客户申请重组，欠款只认六成。;拿仓库抵债;仓库归你，货却卖不出去。;5;-3;5;-2;warehouse_debt_run and receivable_done_run;拿现款六成;少拿一点，现金活了。;15;2;-6;1;credit_good_run and receivable_done_run
power;factory_expansion;14;厂长;founder_run and turn>=8 and !factory_run;del;1900;订单排到明年，隔壁工厂正好要卖。;只租半年;产能够用，现金还在。;-7;2;10;1;factory_rent_run and factory_run;买下工厂;厂房到手，旧债也到手。;-18;8;14;3;factory_buy_run and factory_run
payoff;factory_debt;15;旧厂老板;factory_buy_run and age_factory>=3;del;2600;工厂交割了，工人的工资还欠三个月。;按合同切割;钱省下了，人开始找下家。;8;-11;-5;4;labor_cut_run and factory_done_run;我来补发;工人留下，供应商也愿意等。;-16;13;4;-2;fair_pay_run and fair_pay_keep and factory_done_run
venture;star_sales;16;猎头;founder_run and turn>=9 and !star_run;del;1900;对手的销售冠军来找你，要现金和决策权。;提拔自己人;老员工接住了大客户。;7;10;9;-1;star_promote_run and star_run;重金挖来;他带走客户，也带来客户。;-14;9;17;3;star_hire_run and star_run
payoff;star_demand;17;销售冠军;star_hire_run and age_star>=3;del;2500;我带来的大客户，要我单独算账。;统一归公司;他留下，客户开始慢慢流失。;8;-7;-8;5;star_control_run and star_done_run;给他分成;分成写进合同，客户没走。;-9;10;12;-2;commission_run and star_done_run
payoff;star_promote_result;18;销售总监;star_promote_run and age_star>=3;del;2500;你提拔的人，先要一笔签字费。;只给奖金;人留下，客户归公司。;8;-5;-3;4;star_control_run and star_done_run;给他分成;老客户留下，团队也学会卖。;-6;8;11;2;commission_run and star_done_run
venture;partner_power;19;合伙人 · {maker};founder_run and turn>=10 and !partner_run and !partner_left_run;del;1900;第二款爆品是他做的，股份怎么分？;给奖金不分权;奖金到账，他开始看招聘网站。;12;-8;6;6;partner_control_run and partner_run;给股份和投票权;他拿到股份，也拿到一票。;-8;11;8;-4;partner_equal_run and partner_run
payoff;partner_free_result;20;合伙人 · {maker};partner_equal_run and age_partner>=3 and !partner_left_run;del;2500;他拿到股份，第一件事是要你签授权。;我来盯预算;他没走，报表开始每周更新。;7;6;4;4;partner_done_run;让他独立开线;新业务跑起来，董事会多一张票。;10;13;10;-3;partner_done_run
payoff;partner_control_result;21;合伙人 · {maker};partner_control_run and age_partner>=3 and !partner_left_run;del;2500;他要的不是奖金，是董事会里那把椅子。;让他带队走;你保住品牌，也投资了一个对手。;6;-15;2;7;partner_left_run and rival_keep and partner_done_run;给他董事席;椅子给了，产品线也保住了。;-8;12;7;-4;partner_done_run
venture;buy_company;22;收购顾问;founder_run and turn>=11 and !buy_run;del;2000;同行现金流断了，整家公司只卖一块钱。;只买团队;人来了，旧合同没跟来。;-10;10;1;4;buy_team_run and buy_run;整家买下;一块钱买来客户、合同和三箱文件。;-15;12;8;3;buy_whole_run and buy_run
payoff;buy_whole_result;23;法务总监;buy_whole_run and age_buy>=3;del;2600;收购合同里，还藏着一批未交付订单。;只留赚钱的;现金保住了，旧客户把你告上法庭。;9;-7;-9;5;buy_done_run and legal_run;接下旧单;旧客户留下，新客户也敢签了。;-14;8;12;2;buy_done_run and fair_pay_run
payoff;buy_team_result;24;新团队负责人;buy_team_run and age_buy>=3;del;2600;他们带来的代码，和你的产品完全不兼容。;先拼起来卖;版本按时上线，客服先忙起来。;13;-5;8;-5;buy_done_run;停线重写;进度慢了，系统终于统一。;-9;11;4;-2;buy_done_run
payoff;legal_claim;25;法务总监;legal_run and age_buy>=5;del;2300;被你留下的旧客户，真的起诉了。;打到底;律师赢了一轮，客户没回来。;-6;-3;-10;6;legal_fight_run and legal_done_run;和解，先交货;钱花了，订单按时交。;-14;7;8;-2;legal_settle_run and legal_done_run
venture;investor_offer;26;大股东;founder_run and turn>=13 and !investor_run;del;1900;基金要投一亿，条件是两席董事。;不签，慢慢赚;扩张慢了，决策还在你手里。;-7;8;6;5;self_funded_run and investor_run;签，先扩张;钱进账，董事会多了两张嘴。;24;4;17;-7;investor_seat_run and investor_run
payoff;board_vote;27;投资人代表;investor_seat_run and age_investor>=3;del;2500;董事会不让你开新线，却要你立刻增长。;换一条更快的线;旧项目关了，报表终于好看。;13;-4;9;-6;line_cut_run and investor_done_run;买回表决权;钱退回去，方向又回到你手上。;-21;4;-2;10;control_back_run and investor_done_run
power;valuation_window;28;投行顾问;turn>=15 and !valuation_run;14;1600;估值涨了三倍，同行都在套现。;继续押增长;估值更高，账上还是一张规划表。;-5;5;14;7;growth_run and valuation_run;卖一小部分;钱落袋，股份还在。;21;;5;-4;secondary_run and valuation_run
power;media_profile;29;财经记者;turn>=2;8;140;记者要写你的传奇，供应商却在催款。;讲增长曲线;标题很漂亮，审计开始问细节。;8;-3;10;-5;audit_run;讲真实账本;故事不够漂亮，供应商先收到了钱。;-10;5;5;8;credit_good_run and credit_good_keep
payoff;audit_follow;30;审计师;audit_run and age_audit>=2;del;2200;增长曲线很漂亮，底下的应收账款更漂亮。;再等一个季度;股价没掉，现金先掉了。;7;-4;4;-8;audit_delay_run;把坏账写清楚;估值掉了，账终于是真的。;-12;4;-6;8;audit_clear_run
power;founder_dinner;31;同行老板;deal_channel_run and turn>=6;12;850;饭局上人人问你，下一步会不会卖掉公司。;先放出估值;报价传开了，三个人来问下一轮。;18;;7;5;circle_fund_run and circle_event_run;聊客户;没人敬酒，两个采购留下来。;12;2;15;4;circle_sales_run and circle_event_run
power;supplier_game;32;供应商老板;turn>=2;7;140;供应商又涨价，说不涨就停供。;换一家试试;报价便宜，第一批货先出了问题。;9;-4;-7;5;supplier_swap_run;先付半年款;价格锁住，工厂愿意替你排产。;-14;7;8;3;credit_good_run and credit_good_keep
power;old_stock;33;仓库主管;turn>=2;8;140;旧款堆满仓库，网红却在问价。;拆了卖零件;售后省钱，旧客户也回来了。;8;7;5;-1;parts_run;改名收藏款;库存清了，客户真当限量款买。;18;2;-7;-4;inventory_clear_run
power;price_raise;34;财务总监;turn>=2;7;140;成本涨了，价格还要装没事吗？;先不涨，抢份额;订单漂亮，现金流变薄。;-9;4;12;-3;;涨价十个点;销量少了，利润没少。;16;-2;-6;4;
power;quality_return;35;售后主管;turn>=2;8;140;退货率上来了，问题只在一个零件。;只修坏的;成本省了，论坛先炸了。;8;-5;-12;-4;quality_risk_run;全批次召回;钱花了，口碑保住了。;-17;9;7;5;warranty_run
power;channel_conflict;36;渠道总监;turn>=2;8;140;直营店和经销商，开始互相砍价。;谁便宜谁卖;销量涨了，经销商开始撤。;12;-4;5;-3;;统一价格;渠道不高兴，品牌稳住了。;7;5;9;3;
power;regional_deal;37;区域经理;turn>=2;8;140;外地团队说总部方法卖不动。;照总部执行;报表整齐，订单没涨。;5;-3;-7;5;;给预算自己试;当地签下大单，总部学着改。;-9;8;15;4;regional_run
venture;product_bet;38;产品总监;founder_run and turn>=8 and !bet_run;del;1800;下一代产品，先做便宜还是做高端？;做高端款;设计师开始找贵材料。;-14;3;11;7;bet_premium_run and bet_run;做便宜款;工程师开始拆成本。;-12;4;9;5;bet_cheap_run and bet_run
payoff;bet_cheap_hit;39;产品总监;bet_cheap_run and lucky_bet_run and age_bet>=4;del;2300;便宜款冲上榜首，同行开始降价。;价格不动;销量稳住，利润回来了。;23;3;7;-2;bet_done_run and bet_hit_keep;再降一点;销量涨了，利润薄得透光。;17;-4;15;4;bet_done_run and bet_hit_keep
payoff;bet_premium_hit;40;产品总监;bet_premium_run and lucky_bet_run and age_bet>=4;del;2300;高端款卖空，客户开始排队验资。;降一级门槛;更多客户进来，工厂先忙起来。;13;6;14;-3;bet_done_run and bet_hit_keep;继续加配置;订单更少，单笔利润更厚。;21;-5;11;5;bet_done_run and bet_hit_keep
payoff;bet_miss;41;财务总监;bet_run and !lucky_bet_run and age_bet>=4;del;2300;新产品卖不动，预算只够再赌一次。;再赌一轮;你签了字，没人再担保。;-16;-5;;9;bet_done_run and bet_wait_keep;停，保住现金;样机封存，主力款继续供货。;13;4;-4;-5;bet_done_run and bet_wait_keep
initiative;launch_claim;42;公关总监;founder_run and turn>=16 and !launch_run;del;1700;新款还有缺陷，发布会要延期吗？;先发预告;预订单涌来，缺陷也上热搜。;14;-4;13;-5;hype_debt_keep and launch_run;延期，先修好;发布会空了，老客户反而信你。;-8;6;4;5;honest_launch_run and launch_run
payoff;launch_follow;43;大客户;hype_debt_keep and launch_run and age_launch>=3;del;2500;预告卖爆了，但验货日提前了。;按期交货;工程师睡在工厂，货终于出门。;-11;-8;13;-6;launch_debt_run and launch_done_run;退订金;钱退了，客户还给你留门。;-16;7;-8;-2;launch_clean_run and launch_done_run
payoff;launch_honest;44;老客户;honest_launch_run and launch_run and age_launch>=3;del;2500;你延期了，客户愿意帮你内测。;先卖旧款;现金先回来，发布会再等等。;15;2;4;-2;launch_done_run;给他优先权;他拿到首批，也带来同行。;-7;6;16;4;launch_done_run
power;founder_social;45;公关总监;independent_run and turn>=7;12;900;你拒绝收购的截图，已经传遍行业。;点名对手降价;热搜来了，法务也来了。;9;-3;11;-5;rival_callout_run;讲客户和产品;没人鼓掌，但采购商开始问交期。;-4;4;14;6;social_run
power;employee_options;46;人事总监;turn>=2;8;140;核心员工要期权，不想只拿工资。;涨现金工资;人留下，现金表变薄。;-16;10;7;1;cash_pay_run;给期权;工资没涨，人心先稳住。;-9;12;8;3;option_run
power;safety_line;47;厂长;turn>=2;8;140;安全员说，夜班再开就要出事。;继续赶货;货出了，工伤也上新闻。;11;-12;4;-8;safety_risk_run;停线检查;少交一单，没少一个人。;-13;8;-5;6;safety_run
power;customer_data;48;法务总监;turn>=2;10;140;客户数据能卖，平台报价很高。;卖一次补现金;现金到了，客户开始问注销。;19;-3;-12;-5;data_sale_run;不卖，做服务;钱慢一点，客户愿意续费。;-6;4;11;5;privacy_run
power;regional_store;49;区域经理;turn>=2;8;140;空门店很便宜，但离总部很远。;总部直接接管;报表整齐，店里没客。;5;-4;-8;6;;给他自己试;当地团队签下大单。;-9;7;14;3;regional_run
power;board_packet;50;董事会秘书;turn>=2;8;140;董事会要增长，客户却要退款。;先交增长计划;报告准时，客服熬到凌晨。;8;-6;9;-6;growth_first_run;先解决退款;数字难看，客户没离开。;-12;6;5;7;customer_first_run
power;founder_visit;51;销售总监;turn>=2;7;140;你一年没见过真实客户了。;让销售写报告;报告完整，客户还是没见你。;5;-2;4;-5;;去门店站一天;卖出三台，也听到十条抱怨。;-3;3;12;9;customer_visit_run
power;public_contract;52;法务总监;turn>=2;10;140;对手把你的合同模板发到全行业。;发律师函;律师赚到了，客户没多一个。;9;-2;-5;4;legal_notice_run;公开更好的版本;同行照抄，客户开始找你。;-7;4;14;6;contract_standard_run
breather;founder_speech;53;财经记者;turn>=3;del;170;采访要你讲一次失败。;讲增长三倍;标题很好看，财务开始补材料。;;;;;;讲现金断过;标题很难看，供应商先放心。;;;;;
breather;office_move;54;行政总监;turn>=3;del;170;办公室要搬进最贵的楼吗？;搬，客户会来;客户来了，问你为何不扩招。;;;;;;先别搬;省下的钱够多招两个人。;;;;;
breather;award_dinner;55;行业协会;turn>=3;del;170;奖杯没刻字，同行让你选。;最会活下来;没人鼓掌，供应商笑了。;;;;;;增长最快;同行鼓掌，财务先叹气。;;;;;
pressure;risk_money;56;财务总监;money<=18 and !risk_money_run;del;90000;工资只够发一半，现金还在客户账上。;把应收卖掉;少拿一点，先把工资发了。;22;1;1;-2;risk_money_run and risk_money_run;卖掉个人股份;你少了一点控制权，工资准时发。;26;4;-5;-4;risk_money_run and risk_money_run
pressure;bridge_credit;57;供应商老板;money=0 and credit_good_run and !credit_rescue_run;del;100000;账上见底，你以前的货款都按时付了。;签长期单;他让了价，产线重新开。;23;2;8;1;credit_rescue_run;赊一个月;他先发货，财务终于松气。;28;5;5;2;credit_rescue_run
payoff;credit_control;58;供应商老板;credit_rescue_run and age_credit_rescue>=2;del;3000;账期救了你，他要进董事会。;换供应商;控制权还在，产线先停。;-8;-2;-10;5;supplier_exit_run and credit_control_run and credit_control_done_run;给观察席;货不断，表决权少一票。;-3;6;7;-3;supplier_seat_run and credit_control_run and credit_control_done_run
payoff;supplier_vote;59;供应商代表;supplier_seat_run and credit_control_run and age_credit_control>=3;del;2600;他不懂产品，却有一张董事票。;拉客户进来;董事会多一张票，账期少一周。;7;2;8;-2;customer_vote_run;给他看账;他看懂现金流，投了你的票。;-4;5;5;4;supplier_vote_run
pressure;risk_team;60;人事总监;team<=20 and !risk_team_run;del;90000;核心员工要走，离职信已经打印好了。;砍掉亏钱线;少一条业务，人先留下。;4;22;-9;-5;risk_team_run and risk_team_run;发利润分成;分成到账，辞职信被撕了。;-12;29;-5;-4;risk_team_run and fair_pay_run and fair_pay_keep and risk_team_run
pressure;bridge_team;61;老员工代表;team=0 and fair_pay_keep and !team_rescue_run;del;100000;人都走光了，留下的人愿意回来帮你。;先发三个月工资;人回来了，扩张先暂停。;-8;23;2;1;team_rescue_run;给旧团队股份;他们回来，先把客户接住。;2;28;6;4;team_rescue_run
pressure;risk_market_low;62;销售总监;market<=15 and !risk_market_low_run;del;90000;一周只卖一台，买家还是你的亲戚。;带样机拿大单;你守住采购，机器卖出去了。;5;2;23;3;customer_oath_run and risk_market_low_run;老客换新;门店重新排队，亲戚要补差价。;-10;-3;27;5;customer_oath_run and risk_market_low_run
pressure;bridge_market;63;老客户;market=0 and customer_oath_run and !market_rescue_run;del;100000;货架空了，老客户说愿意帮你重新铺货。;给老客独家;渠道回来了，价格也被锁住。;-4;1;23;5;market_rescue_run;先发旧款;旧款回到货架，新款有时间修。;4;3;27;2;market_rescue_run
pressure;risk_market_high;64;厂长;market>=85 and !risk_market_high_run;del;90000;订单做不完，退款排队比抢购还长。;找同行代工;利润分了，客户总算收到货。;-11;4;-27;-3;risk_market_high_run and risk_market_high_run;关预售，先交货;按钮关了，旧单开始出厂。;-6;7;-30;-5;risk_market_high_run and risk_market_high_run
pressure;market_overflow;65;厂长;market=100 and !market_overflow_run;del;100000;订单冲到顶，工厂已经塞不下了。;分给同行做;利润少了，交期终于保住。;-12;5;-29;-2;market_overflow_run;关预售，先交货;按钮关了，旧单一车车出厂。;-7;8;-34;-4;market_overflow_run
pressure;risk_mind_low;66;产品总监;mind<=18 and !risk_mind_low_run;del;90000;你只看报表，已经没人问你意见了。;去门店卖一台;客户骂了两句，你当场改机。;6;;5;22;product_touch_run and risk_mind_low_run;去车间拆一台;你拆到天亮，没问利润率。;-9;4;-4;26;product_touch_run and risk_mind_low_run
pressure;bridge_mind;67;产品总监;mind=0 and product_touch_run and !mind_rescue_run;del;100000;你停了手，产品总监把旧样机送回来了。;带它见客户;客户一句抱怨，让你又有主意。;8;2;11;23;mind_rescue_run;重新做它;没人催融资，样机先活了。;-8;5;7;28;mind_rescue_run
pressure;risk_mind_high;68;董事会秘书;mind>=85 and !risk_mind_high_run;del;90000;没人敢反对你，会议只剩下点头。;锁公章一晚;计划少了三个零，终于能执行。;-3;5;-2;-27;risk_mind_high_run and risk_mind_high_run;先听反对票;第一票说：别再折腾了。;4;8;-5;-30;risk_mind_high_run and risk_mind_high_run
pressure;mind_overflow;69;董事会秘书;mind=100 and !mind_overflow_run;del;100000;你又有十个点子，团队只想先做完一个。;只留一个试验;其他想法入库，团队松了口气。;-4;4;7;-31;mind_overflow_run;砍掉九个;白板清空，主线终于交付。;4;7;4;-36;mind_overflow_run
exit;cash_out;70;收购方;money>=65 and turn>=16;18;140;公司我买，连你的麻烦一起买。;我还没做完;报价退回，团队继续等你拍板。;-3;4;;5;;拿钱走人;收购款到账，麻烦换了老板。;;;;;end_sold
exit;hand_over;71;合伙人 · {maker};partner_done_run and team>=65 and turn>=17 and !partner_left_run;20;140;公司能自己跑了，你要把椅子交出来吗？;一起管;两张椅子，两个签字人。;5;8;;-10;;交给你;你走到门口，没人追出来。;;;;;end_next
exit;take_break;72;助理;mind<=27 and turn>=16;14;140;工作群静音三天，你真想休息？;换个项目;新样机进门，工作群重新响了。;-8;5;-4;20;;找人接手;工作手机交出去，闹钟全关了。;;;;;end_pause
legacy;legacy_rival;73;对手 · {rival};dynasty>1 and rival_keep and turn>=3 and !legacy_seen_run;del;1900;上次你把我逼走，这次我来抢你的客户。;合并，别折腾;两块招牌合成一块，客户没搬家。;13;4;-3;-5;legacy_seen_run;放马过来;两家公司把报价发给了同一个客户。;8;-3;8;4;legacy_seen_run
legacy;legacy_paid;74;猎头;dynasty>1 and fair_pay_keep and turn>=3 and !legacy_seen_run;del;1900;上家公司奖金发够了，老员工还记得。;先来三个人;三个人先到，客户没等太久。;-4;11;4;-2;legacy_seen_run;整个队都来;他们带着旧工牌，来领新的。;-7;18;3;3;legacy_seen_run
legacy;legacy_credit;75;供应商老板;dynasty>1 and credit_good_keep and turn>=3 and !legacy_seen_run;del;1900;上次你按时付钱，这次他愿意先发货。;签长期价;价格锁住，扩张慢一点。;16;2;4;-2;legacy_seen_run;照旧合作;账期还在，产线先开。;12;5;8;3;legacy_seen_run
legacy;legacy_bet;76;技术买家;dynasty>1 and bet_wait_keep and turn>=3 and !legacy_seen_run;del;1900;上次没做成的产品，现在有人想买技术。;收钱再开工;订金到账，样机重新通电。;12;6;7;5;legacy_seen_run;只卖授权;旧项目终于赚钱了。;19;;4;3;legacy_seen_run
legacy;legacy_sold;77;投资人;dynasty>1 and last_sold_keep and turn>=3 and !legacy_seen_run;del;1900;上家公司卖得不错，这家还要卖吗？;先看产品;她放下估值表，拿起了样机。;5;4;3;-4;legacy_seen_run;条件我来开;她先拿你的条件回去谈。;15;;7;5;legacy_seen_run
legacy;legacy_failed;78;财务总监;dynasty>1 and last_failed_keep and turn>=3 and !legacy_seen_run;del;1900;这次先留工资，别把保险柜也卖了。;先做赚钱的单;场面小了，欠条也少了。;14;;-8;2;legacy_seen_run;留三个月;工资锁好了，扩张慢一点。;10;9;-5;-4;legacy_seen_run
