thematic;card;id;bearer;sign;conditions;lockturn;weight;question;override_yes;answer_yes;yes_church;yes_kingdom;yes_people;yes_economy;yes_custom;override_no;answer_no;no_church;no_kingdom;no_people;no_economy;no_custom;load_custom;vide
intro;_show_data;139;comtesse;;;;;You shall be pious, yet flexible. Populist, yet royal. Mighty, yet peaceful. Wealthy, yet humble.;I shall!;<i>She leaves you to face your first decisions as queen.</i>;16;16;16;16;mus_anyone;Whatever;<i>She leaves you to face your first decisions as queen.</i>;-16;-16;-16;-16;mus_anyone;;
magic;;806;cat;;;80;14;Mew! Mew mew!;<i>Pet her</i>;<i>Somehow she still seems dissatisfied with you.</i>;;-5;5;;;Are you the Devil?!;;5;;-5;;;;
deaths;;1;king;;kingdom=100;;10000;Your strength has made us a kingdom to be feared! I must guard you from our enemies at all costs...;What...;;;;;;>_end_tower;What...;;;;;;>_end_tower;;
deaths;_end_tower;2;end>tower;;;;;<i>You live some years locked in a tower room alone. By the time you die, you have forgotten how to speak.</i>;;;;;;;;;;;;;;;;
deaths;;734;general;;kingdom=100 and !has_king;;max;Did you think the army would allow you to trample this great land? Your cruelty killed our king, and now it's your turn!;What...;;;;;;>_end_servant;What...;;;;;;>_end_servant;;
deaths;_end_servant;735;end>dishes;;;;10;<i>The army seizes control of the palace and strips you of your crown. You live out your days washing dishes.</i>;;;;;;;;;;;;;;;;
deaths;;3;anyone;;kingdom=0;;10000;The weakness of the royal family has doomed this land! We should never have taken a foreign queen...;What...;;;;;;>_end_aside;What...;;;;;;>_end_aside;;
deaths;_end_aside;736;ravenna;;statue;reign;max;My dear friend! My armies have come to fight for you. I have come, so that you may keep your rightful throne!;Thank you!;;;20;;;;I've got this;;;5;;;>_end_aside;;
deaths;_end_aside;4;end>aside;;;;100;<i>The city is sacked, and you marry an invading general in exchange for peace. He will never understand you.</i>;;;;;;;;;;;;;;;;
deaths;;5;anyone;;people=100;;10000;A wild crowd is outside bearing gifts for our beloved Queen! They're tearing the drawbridge down!;What...;;;;;;>_end_crushed;What...;;;;;;>_end_crushed;;
deaths;_end_crushed;826;doctor;;philocentre;reign;max;No, no! They're not here for the Queen. They're students of my Center for Philosophy, here to attend one of my lectures! Relieved?;;;;;-30;;;;;;;-15;;;;
deaths;_end_crushed;6;end>crushed;;;;100;<i>The crowd fights to kiss your ring. Your body is found crushed to death beneath an avalanche of trampled flowers.</i>;;;;;;;;;;;;;;;;
deaths;;7;farmer;;people=0;;10000;This land turns to ash in your fists. Today we, the people, rise up to seize your means of respiration!;What...;;;;;;>_end_guillo;What...;;;;;;>_end_guillo;;
deaths;play_clearperfume;737;farmer;;>;reign;max;<i>Sniff...</i> what were we doing? Revolting... yes, charming Queen, I'm sorry we are so revolting! We'll just leave now.;That's okay;;;;20;;;See that you do;;;;20;;;;
deaths;_end_guillo;9;end>guillotine;;;;10;<i>You are dragged through the city streets, amid revelry and uprising. You try not to lose your head, but it happens anyway.</i>;;;;;;;;;;;;;;;;
deaths;sainttest;404;archbishop;;church=100 ;;10000;So good of you to help usher in a new golden age for the Church. Now, let's test you for sainthood!;What...;;;;;;>_end_puritan;What...;;;;;;>_end_puritan;;
deaths;play_chickenbone;738;archbishop;;>sainttest;reign;10;I cannot believe my eyes! Could that be... the lost clavicle of Saint Bernadolo?;It's a chicken bone;;-20;;;;>;;;;;;;>_end_puritan;;
deaths;_;739;archbishop;;;;;It's obviously not! I must honor your reign by creating a reliquary for it.;That's right;;5;;;;enameledbone;A what? ;;-10;;;;enameledbone;;
deaths;play_enameledbone;742;archbishop;;>sainttest;reign;max;Gah! You must not shake the Clavicle of St. Bernadolo about like that. Such sacrilege! I must look away!;;;-10;;;;;;;-30;;;;;;
deaths;_end_puritan;11;end>puritain;;;;;<i>You go without water to prove your sainthood to the Cardinal. You wait for God to come, but only meet death this time.</i>;;;;;;;;;;;;;;;;
deaths;;13;archbishop;;church=0;;10000;I simply can't allow a scandalous Queen like you to remain on the throne. Your heathen ways spell treason!;What...;;;;;;>_end_heathen;What...;;;;;;>_end_heathen;;
deaths;play_clearperfume;405;archbishop;;>13;reign;max;Strange. Suddenly your ways seem quite charming... forgive me, my Queen!;Thanks;;30;;;;;Not forgiven;;30;;;;;;
deaths;play_clearperfume;406;archbishop;;>13;;10;That sleazy perfume shall not charm me again, you heretic! Your fate is sealed!;What...;;;;;;>_end_heathen;What...;;;;;;>_end_heathen;;
deaths;_end_heathen;15;end>burning;;;;10;<i>The Cardinal conspires to have you found guilty of witchcraft. It's he who puts the first torch to your stake.</i>;;;;;;;;;;;;;;;;
deaths;;16;king;;economy=100;;100000;We are the richest rulers of all time! Let's ride in our jeweled carriage, worth an entire kingdom's fortune!;What...;;;;;;>_end_carriage;What...;;;;;;>_end_carriage;;
deaths;_end_carriage;17;end>drown;;;;10;<i>The gleaming carriage is too heavy. The road crumbles beneath you, and you tumble into the sewer and drown.</i>;;;;;;;;;;;;;;;;
deaths;;743;anyone;;!has_king and economy=100;;max;You've hoarded all the wealth in the land and destablized our entire economy! It's time for forcible redistribution!;What...;;;;;;>_end_bandits;What...;;;;;;>_end_bandits;;
deaths;_end_bandits;744;end>explosion;;;;;<i>Duchesses and farmers alike storm the palace with barrels of gunpowder. The wine cellar collapses while you're hiding inside.</i>;;;;;;;;;;;;;;;;
deaths;;18;king;;economy=0;;100000;Your flagrant expenses have left our kingdom destitute!? I guess we'd better escape!;What...;;;;;;>_end_coup;What...;;;;;;>_end_coup;;
deaths;_end_coup;827;banker;;wonderhall;4;max;If we sold some of the artifacts in the Hall of Wonder, it could save the economy. Such wealth, hidden away all this time!;;;;;;30;;;;;;;;>_end_coup;;
deaths;_end_coup;19;end>coup;;;;10;<i>The savage hounds that once obeyed you now chase you into the woods. You are never entirely found.</i>;;;;;;;;;;;;;;;;
deaths;;745;anyone;;!has_king and economy=0;;max;You've run the economy into the ground! The palace has been reposessed by the bank. You must leave!;What...;;;;;;>_end_broke;What...;;;;;;>_end_broke;;
deaths;_end_broke;746;end>broke;;;;;<i>You return to the West, where your crimes have ostracized you from your family. You live alone and unloved.</i>;;;;;;;;;;;;;;;;
deaths;_end_childbirth;21;end>birth;;;;9;<i>The delivery was difficult. So difficult, in fact, that it was you who was delivered. The kingdom mourns a little.</i>;;;;;;;;;;;;;;;;
court;;253;comtesse;;;del;100;The country folk are simple heathens, and superstitious. They think red things mean bad omens!;I see;;-8;;9;;>>>>>_dresscolor;How stupid!;;5;8;-16;;>>>>>_dresscolor;;
court;;254;handmaid;;;del;100;Shall I hem your gown in gold thread or plain, Your Highness?;Plain;;15;-10;-20;;>;Gold;;-10;5;10;-5;>;;
court;_;314;comtesse;;;del;;The Cardinal would rather see you look austere, but glamour always wins the people's hearts.;Got it;;10;-4;10;;;Whatever;;-6;10;-8;;;;
court;;315;comtesse;;;del;70;My Queen? Do you tend your horse with a soft glove, or with a firm whip?;Firm!;;;17;-11;;>;Soft!;;;-16;12;;>;;
court;_;316;comtesse;;;del;;See? A firm hand emboldens your kingdom, but often the people dislike ruthlessness.;I see;;;;7;;;I know what I'm doing!!;;-4;-5;-10;-5;;;
court;;317;king;;;del;100;I just had a nightmare that God wasn't real! I'm shaking! Sh-should we pray?;;;15;-15;;;>;Get real;;-13;15;;;>;;
court;_;318;comtesse;;;del;;You see? Piety pleases the Church's watchful eye. But some feel too much piety weakens this kingdom...;I see;;6;7;;;;Why are you in my room?!;;;;6;;>;;
court;;319;comtesse;;has_king and ceremony;del;70;My lady, since I have been your dear servant so far, may I beg a favor?;Of course;;;-5;10;;>;You can beg;;;3;-8;;>;;
court;_;383;comtesse;;;del;;Please... let me secretly borrow the King's royal seal. My poor old brother is in the church prison and needs a pardon. ;Of course!;<i>Some royal funds vanish, and end up in the Church coffers. Was it <comtesse>?</i>;;-12;14;-8;>>>>_comunmask1;That's illegal;;;5;-10;;>_mrother;;
court;;843;comtesse;;ceremony;del;30;You don't mind if I borrow the King's seal again, right? I just want to stamp some things.;Perhaps...;;;-5;;;>>>>_comunmask1;What things?;<i><comtesse> has been behaving strangely...</i>;;5;;;>>>>_comunmask1;;
court;_mrother;407;comtesse;;;del;;Please keep my poor old mother in your prayers, then. I mean my brother! It's my brother.;I shall;;;-8;10;;>>>>_comunmask1;Hang on...;<i><comtesse> has been behaving strangely...</i>;;10;;;>>>>_comunmask1;;
court;_comunmask1;384;comtesse;;;del;;Dear lovely Majesty! I, your pitiful old friend, again beg you to use the King's seal. For the good of the realm.;Hang on...;;;-8;12;;>;Guards!;;;12;-18;;>;;
court;_;320;comtesse;;;del;;What? Why?! I'm your dearest servant, aren't I? I've been so helpful!;But...;;;;5;;>;Explain yourself!;;;;-10;;>;;
court;_;321;comtesse;;;del;;I confess! I brought the seal to the Cardinal, at his bidding. Beware, for many are on his side! The church will rise!;Begone!;<i><comtesse> is exiled, but the church denies wrongdoing.</i>;-10;-8;10;;del_comtesse;Hang her!;<i>This will send the Cardinal a message!</i>;-12;5;-25;;del_comtesse;;
court;_dresscolor;255;comtesse;;;del;;You must wear a green dress on your public walk, Your Majesty. Remember, the country folk find red impure.;Okay;;;5;5;;>>>;We'll see;;;-5;-5;;;;
court;_;27;handmaid;;;del;;My lady, will you wear the red gown or the green gown for your public stroll today?;Red;;-10;;-12;;>;Green;;5;15;5;;>;;
court;_;256;comtesse;;;del;;Oops! I forgot to say: Green is this kingdom's royal hue. It rouses our fortitude! Sometimes you can't win.;Ah;;;;;;;Are you kidding;;;;;;;;
court;;257;chamberlain;;;del;500;At last, the new Queen! Let me show you how low I can bow! Watch this, here I go!;Keep going;;;15;-5;;>;Please don't;;-5;-5;10;;>;;
court;_;258;chamberlain;;;del;;I like to be facedown! Ahem, I am <chamberlain>, your court chamberlain and master of ceremony!;Thank you!;;;-10;;;;Boring;;;10;;;;;
court;;259;chamberlain;;!warEast and has_king;400;12;His Majesty invited two rival lords to our banquet. There'll be duels all night, and a mess! What to do?;Gimme ideas;;;;;;>_visitingdele;Oh well;<i>Rapiers and spilled wine everywhere. All the guests were insulted.</i>;-10;-20;-10;-15;;;
court;_visitingdele;508;chamberlain;aquarius;;3;100;Well. It's the age of Aquarius after all, so maybe let's just buy a lot of wine and hope for the best?;Do it;<i>Miraculously, everything turned out okay.</i>;10;10;10;10;;Other ideas?;;;;;;>_visitingdele;;
court;_visitingdele;260;chamberlain;;;3;100;Oho! The King's own men will stand guard. A grand presentation? Or too forceful?;Do it;;-10;30;-25;-20;;What else?;;;;;;>_visitingdele;;
court;_visitingdele;261;chamberlain;;;3;100;No one would dare spill blood before the Cardinal. But then we'd have to invite him...;Do it;;25;-12;5;10;;Anything else?;;;;;;>_visitingdele;;
court;_visitingdele;262;chamberlain;;;3;100;Let's extend the invite to all your ladies in waiting? Their charms could smooth things over.;Do it;;-10;18;25;20;;What else?;;;;;;>_visitingdele;;
court;_visitingdele;263;chamberlain;;;3;40;So much drama! Should we cancel the banquet? Or just hope for the best?;Cancel it!;;-7;-30;10;-20;;Hope;<i>Rapiers and spilled wine everywhere. All the guests were insulted.</i>;-10;-20;-10;-15;;;
king;;28;king;;;220;8;The Cardinal has high expectations of our reign. I hate to ask, but could you wear less-revealing gowns? ;Sure;;26;-10;-18;8;;Never!;;-26;15;16;-20;;;
king;;29;king;;age>12;400;10;Why do we have to be royal all the time? Tonight, my wife, I want you to drink wine with me!;Cheers!;;-18;29;10;;>;Pass;;12;-10;-20;;;;
king;;30;king;;age<10 and dynasty>4;400;13;Tonight's wine has brought a certain mood upon me. Shall we... try for a baby? It is our duty to the throne, after all.;Let's try;;5;30;10;;>>>>_babyresult;Headache;;;-20;-10;;;;
deaths;_babyresult;20;king;;!has_doctor;10;max;The Queen is with child! Where, oh where is the court doctor??? I could have sworn we had one...;What...;;;;;;>_end_childbirth;What...;;;;;;>_end_childbirth;;
king;_babyresult;853;doctor;;;10;100;Hmm... your body has changed into a weird shape, my Queen. Oh no! It's a tropical disease!;What...;;;;;;>;What...;;;;;;>;;
king;_;854;doctor;;;;;...oops, wait! I was reading the wrong page in my medical book. Actually, you're having a baby!;Yep;;;;;;>>_babyresult2;You're really a doctor?;;;;;;>>_babyresult2;;
king;_babyresult2;855;king;;!prince_reign;10;60;Let the bells ring out! Her Majesty the Queen has given this kingdom a young prince! I have an heir! ;And so do I!;<i>Your young son is sent abroad to be educated.</i>;;-5;;;prince_reign;Let me sleep;;;;5;;prince_reign;;
king;_babyresult2;856;priestess;;!daughter_reign;10;50;My Queen! You have delivered a healthy baby daughter! Where will you send her to be raised and educated?;The city;<i>Your young daughter must learn to be a lady among society nobles.</i>;;;10;;daughter_reign;The church;<i>Your daughter becomes a young nun. She's forbidden to write to you.</i>;10;;;;;;
king;;31;king;;;400;8;The church is asking you to help <nun> make crafts with children for Saint's Name Day. It's good publicity.;And nice, too;;8;;30;-10;;I hate her!;;-16;;-25;20;;;
king;;32;king;;;400;8;I feel overwhelmed by all the pain in the world, my love. I am paralyzed. It's so hard.;Poor baby;;;-22;-15;;;Stop moaning;;;22;18;;;;
king;;44;king;;!prince_reign and age<10 and has_piratel and !flintlock;60;70;How come we don't have a proper heir yet? I've been doing all the moves in this romance book and everything.;I'll try harder ;;18;22;;;>>>>_babyresult;It's you!;;-16;-22;;;;;
king;;45;handmaid;;has_king;400;8;Your husband was creeping around the maids' rooms again, my lady. I don't like the look in his eye. ;That pig!;;-10;-18;10;;>;Ignore him;;-5;16;-17;;;;
king;_;322;handmaid;;;;;A scandal would be such fun for us maids! But I suppose you must rein him in...;I'll handle it;;;10;8;;>_kingconfront;I'll punish you!;<i>You have her whipped, but not too hard. It's not really her fault.</i>;10;12;-26;;;;
king;_kingconfront;323;king;;;;;Your maid accused me of impropriety? Me?! But I'm innocent!;Liar!;;8;18;15;;>;Oh, okay;;-10;-28;;;;;
king;_;857;king;;has_hunter;;;I only have eyes for you. Well, and <hunter>. Because he takes me hunting, I mean. I love hunting.;Of course;;5;10;;;;Hunting, eh;;-10;-10;12;;;;
king;;48;king;;;400;10;It's time to organize the feast of the Spring Plenty! Well, it's time for you to organize it.;;;-15;;25;-20;>>>>;;<i>The Cardinal finds this feast excessively floral and paganistic.</i>;10;;-17;10;;;
;_;444;priestess;;;;;My mistress, the Lady of the Wood, saw you keep the Spring Plenty. She asks to bless the treasury!;Bless!;;-10;;12;25;;No thanks;;15;;-10;;;;
king;;560;king;;!has_hunter;120;90;The smell of dirt is in the air! Meat is in my heart. Oh, how I long to hunt. You don't mind if I go, do you, dear?;Go, go;;-6;16;8;-10;>>;What about me?;Oh woe, what chains are marriage, <i>he grumbles dramatically.</i>;8;-18;-5;4;add_hunter;;
king;_;561;chamberlain;;;;;My Queen! My Queen! The King has been injured on the hunt! It's ghastly!;Who's responsible?;<i>The King's huntsman is summoned to explain.</i>;;-17;8;;> and add_hunter;Don't care;<i>It's only a pulled muscle, of course.</i>;;10;-8;;add_hunter;;
king;_;562;hunter;;;;;It's an honor to be properly introduced, my Queen! Your loveliness outshines even the legends.;Why thank you;;;;12;;>;Silence, lackey!;;;;-16;;>;;
king;_;563;hunter;;;;;Yes, my lady. The King will be fine. His heroic ambitions again exceeded his noble ability, is all.;That's not a compliment;<i>You nurse the King's pulled muscle. He soon returns to his usual fitness.</i>;;8;-12;;;Ha ha!;<i>You nurse the King's pulled muscle. He soon returns to his usual fitness.</i>;;-11;12;;;;
king;;52;king;leo;;400;25;The latest royal fashion is to drape black velvet over the breastplate. Let's dress the whole army in velvet!;Go ahead;<i>The royal army is dressed like the Holy Army. Rumors fly of the crown's servitude to the church.</i>;18;-30;;-20;;Let's not;<i>The King avoided the garb of the church's Holy Army. Your military was relieved.</i>;-14;22;;10;;;
king;;53;king;;!has_banker;80;18;The treasurer is here with big news? But I'm in my painting lesson! Tell him to go away!;Okay;;;-20;;-19;;I'll talk to him;;;5;;10;add_banker and >;;
;_;564;banker;;;;;I've discovered a way to increase our financial reserves by issuing royal bonds. Are you able to approve it?;Do it;;-5;8;8;25;>;Wait for the King;;;-19;-6;-35;;;
;_;639;banker;;;;;May I continue to seek your opinion on matters of finance? The King is... not necessarily as attentive.;Great;;;8;;;;If you must;;;-8;;;;;
church;;54;nun;;;400;8;The Feast of Spring Plenty has roots in the occult! We must honor only church holidays in the royal calendar.;;;18;;-12;;;;;-17;;16;;;;
church;;55;archbishop;;;400;8;The church may build a monument to the new queen's virtue... if she is indeed virtuous, that is.;Go ahead;<i>It's an awful likeness. The people are rude about it.</i>;20;;-18;-25;;Don't;;-18;;;10;;;
church;;56;archbishop;;;400;12;The church has a plan for this land, and the Queen's support is essential. Let's have good relations, you and I.;I will;;18;-12;-5;-15;;What do I get?;;-18;8;;5;;;
church;;58;nun;;;400;10;Forgive me, but your bosoms are rolling like melons in your gown! I beg you, please conceal them!;;;20;-5;-15;;;;;-14;8;10;;;;
church;;59;archbishop;;!prince_reign and age<12;400;14;No heir yet for the King? It could mean sin on your part. Best make a large donation to the church.;Okay;;12;-10;;-30;;I'd rather keep trying;;-26;5;;;>>>_babyresult;;
church;;61;archbishop;;;400;10;We need a curfew, for moral hygiene. Convince the King, and there will be holy treasures for your crown.;;;20;-12;-16;20;;;;-23;5;12;;;;
church;;62;nun;;;400;10;The courtly dances, the lewd touching of the palms! God bids you dance more chastely!!;Fine;;10;-8;-15;;;What do we touch instead?;;-13;5;15;;;;
church;;64;nun;;has_general;400;15;Will you pray over the army's daily exercises? When the church and the sword hold hands, peace is certain!;;;10;-17;;;>>;;;-15;10;;;;;
church;_;858;general;;;;;I joined the royal forces to avoid religious superstitions. My Queen, please ask the church to leave the army alone.;I understand;;-10;15;;;;Unity is urgent!;;10;-20;;;;;
church;;65;nun;;;400;12;Let us sell this prayer book bearing your image! You will earn a blessed percentage, of course.;;;15;;-10;20;;;;-18;;10;;;;
church;;66;archbishop;;;400;12;This court is foul with wine, and men with stained mouths chase your ladies. Why not abolish drink?;;;10;-15;-30;;>>;;;-10;;8;;;;
church;_;859;priestess;;;;;Wine and other libations are sacred to my people. The church's abolition amounts to religious oppression!;Bring back wine!;;-25;5;10;;;I can't help;;20;-16;-10;;;;
people;;69;handmaid;;!warEast;400;10;I know you entertain the East Kingdom tonight, but my mother is very ill. Can you braid your own hair?;Of course;<i>You do your best, but it's a mess. Luckily Easterners love relaxed styles!</i>;;-5;10;;;I can't;;;5;-10;;;;
people;;71;nobleman;;overall>50;400;12;You must smile, my Queen, for yours is a great nation! Smile and the people smile with you!;<i>Smile</i>;;;-8;15;;;<i>Refuse</i>;;;16;2;;;;
people;;72;farmer;;people<50 and age>10;200;14;My Queen, there is not enough bread! Please, call off the guards so we can use the royal granary!;;;5;-19;22;-30;;;;-5;12;-30;;;;
people;;75;nobleman;;;400;8;I wrote a song about our lovely Queen! I wish to perform it day and night at court, for a price.;;;;-10;15;-10;>;;;;10;-8;;;;
people;_;324;king;;;;;That guy's song about you goes on all day. I can't take it! Please let me just execute him!;Fine;;;20;-22;;del_nobleman;That's excessive!;;;-18;17;;;;
people;;76;handmaid;;has_cossack;400;8;Can we not just wash the linens in the river sometimes instead of the spring? It's clean enough!;;;-5;-15;10;;>_cleandress;;;;5;-10;;;;
people;_cleandress;325;cossack;;;;;Your maids' clothes all smell like mud, and I LOVE it! Keep this policy!;Okay!;;-18;;10;;;That's weird;;12;8;-10;;;;
people;;77;handmaid;;;400;10;Which emblem will you choose for your embroidery, Lady? The sword of royalty, or the flower of mercy?;Sword;;;15;-5;;;Flower;;;-5;14;;;;
father;;81;father;;;400;8;Let's decorate the throne room with bright colors! It's how your mother would have wanted it.;;;-10;-12;10;-10;;;;5;12;-12;;;;
father;;82;father;;has_king and has_archbishop;400;15;The Cardinal and the King don't seem to like each other. Shall I teach them herbal medicine?;You can try;;-15;-10;10;;;Seriously?;;;12;-8;;;;
father;;83;father;;has_king;400;8;Your husband gives so little to the people. What would your mother say? Can't you give more?;You're right;;;-18;28;-30;;It's complicated;;;8;-16;5;;;
father;;84;father;;;400;8;I remember you were so lonely as a young princess. Are you and your handmaid close, now?;;;-5;-5;10;;;;;5;5;-10;;;;
father;;85;father;;;400;8;The Cardinal himself forbid me from saying my prayers in the palace. You must fight him on this!;I will;<i>A separate chapel had to be built for your father.</i>;-30;;8;-20;;I can't;;5;-10;-20;;;;
father;;86;father;;;400;8;I brought dozens of barrels of the whale oil your mother used to love to soak in. Your skin will be amazing!;Thank you;;-15;;13;-10;;Send them back;;5;;-15;5;;;
father;;87;father;;;400;8;I finally understand the appeal of rippled silk. Will you have me some suits made?;;;5;5;10;-22;;;;-5;-5;-10;;;;
father;;90;father;;has_king;400;8;You may hear that some of the King's private wine is gone. Surely he can share with his wife's father! ;;;-5;-20;5;-18;;;;;14;;5;;;
greatmother;;101;priestess;;;del;60;My village surrounds the Lady of the Wood's temple in the deep forest. There, men honor us.;Sounds great;;-15;5;11;;;Impossible;;10;;-16;;;;
magic;;104;priestess;;age<12;400;20;The day of the first dew is holy for my people! What blessing shall I make for you?;Prosperity;;-8;5;7;25;;Fertility;;15;20;5;;>>_babyresult;;
greatmother;_after_death;308;mother>mother1;;dynasty=3;del;max;Ccccrrrckkk...;;;;;;;>;;;;;;;>;;
greatmother;_;327;mother>mother2;;;;;Chhhhhhh...;;;;;;;>;;;;;;;>;mus_mother;
greatmother;_;309;mother>mother3;;;;;Chiiiiild...;;;;;;;>;;;;;;;>;;
greatmother;_;310;mother>mother4;;;;;Be not afraid. I am the All-Mother, who brought this world to life. ;;;;;;;>;;;;;;;>;;
greatmother;_;311;mother;;;;;Though your body may die, your spirit continues... in the form of this land's next Queen.;;;;;;;>;;;;;;;>;;
greatmother;_;312;mother;;;;;I know it hurts. I know how you must ache for true power. Earn my <*crown*>, and you shall have all your desires.;;;;;;;>;;;;;;;>;;
greatmother;_;313;mother;;;;;Let me start your journey with a gift: the book of your glory, still to be written.;;;;;;;> and blankspellbook;;;;;;;> and blankspellbook;;
greatmother;_;1308;mother>mother4;;;;;Oh, how I love you, daughter...;;;;;;;>force_end;;;;;;;>force_end;;
greatmother;;860;priestess;;blankspellbook and dynasty>5;del;80;That book... it has a sacred aura. May I take a closer look, my Lady? <*Give*> it to me.;Not now;;;;;;;Never;;;;;;;;
greatmother;play_blankspellbook;861;priestess;;see_priestess;0;100;What?! This came from the All-Mother herself! Oh, you must consult my mistress, the Lady of the Wood!;I will;;-5;;5;;>;How?;;-5;;10;;>;;
greatmother;_;862;priestess;;;;;Some say she takes animal forms. I will write a spell in this book, so that it may help you find her...;;;-5;;;;redspellbook;Don't touch it!;;-5;5;-20;;;;
merchant;;140;chamberlain;;!has_merchant and age>3 and dynasty>4;50;80;A traveling merchant is at the gates! Shall we welcome her in? ;Sure;;-10;5;5;10;add_merchant and >;;;;-10;-10;-10;;;
merchant;_;141;merchant;;;;;Lady! I, <merchant>, can bring you exotical, beautimous and possibly even majickal wares from all the land!;Beautimous?;;;;;;>;M-Majickal?;;;;;;>;;
merchant;_;142;merchant;;;;;Indeed. There will be no risks or problems with my goods, none. I'll go ahead and set up shop!;Wonderful!;;;;;;;Oh...;;;;;;;;
merchant;;329;merchant;scorpio;;400;25;Wowee! The high Queen is a Westerner like me! Now tell the truth: You don't obey that Cardinal man, do you?;I do;<i>His spies could be anywhere.</i>;20;-5;-5;;;I don't!;<i>She looks pleased, and winks.</i>;-13;5;10;;;;
merchant;;152;merchant;;!has_mirror and !speakmother and dynasty>9;50;50;I've found a very rare item: a magic mirror, made only for queens. You may need to borrow from the treasury...;Mine!;;-5;;;-20;add_mirror;;Hmph! Are you sure you can rule without magic? <i>She huffs.</i>;;-5;-5;;;;
merchant;;153;merchant;;;400;14;Please allow me to bring new goods here, my Queen. Memories of your home are just an import away!;;<i>The people love new and exotic goods, but the other guilds are now fractious.</i>;;-12;13;20;>>>>>;;;;18;;-20;;;
ravenna;;155;merchant;;;del;40;When I was at sea, I heard a strange rumor about the isle to the Northwest. I could tell you, for a price...;Tell me;The Queen of the island is said to be a sorceress, <i>she whispers.</i> ;-5;;;-10;;Not interested;;5;;-5;;;;
merchant;;156;nobleman;;has_merchant;200;14;My lands are enriched since you welcomed foreign merchants. Will you accept this tribute?;;Long live the Queen, <i>he cheers.</i>;;15;14;15;;Not now;;5;-10;;;;;
ravenna;;157;handmaid2;;!has_ravenna and has_owl;50;40;They say the King of Northwest Isle is visiting the kingdom with his mysterious wife. Will you greet her?;;;-5;10;5;;> and add_ravenna;Not interested;;;-15;-5;;;;
ravenna;_;158;ravenna;;;;;You are as beautiful as I've heard. Let us two queens keep company while our husbands parley.;;;;-5;8;;;;;-5;10;-8;;;;
ravenna;;159;ravenna;;;400;35;Sit beside me this meal! Let us sip from the same bowl, sweet friend.;Love to;;-8;10;;;>_ravtrap;Not tonight;;5;-23;;;;;
ravenna;_ravtrap;160;ravenna;;!assassin;;10;Please sit closer. This is necessary, but it isn't personal.;What...;;-100;-100;-100;-100;>_endvines and assassin;What...;;-100;-100;-100;-100;>_endvines and assassin;;
ravenna;;388;ravenna;;assassin;80;80;What a lovely table you set, sweet friend. Let us drink from the same wine cup!;Sure!;;-100;-100;-100;-100;>_endvines;You'll poison me!;;;;;;>;;
ravenna;_;389;ravenna;;;;;H-How did you know my intentions? Are you magical, like me?! Please believe me, our friendship was true!;How could you?;;-10;-10;14;;>;I'm nothing like you;;10;10;;;>;;
;_;747;ravenna;;;;;We wanted to eliminate you and marry our niece to the King. Such a bond would have strengthened both our houses.;Isn't there another way?;;;;11;;>;Leave here!;<i>The visitors leave. The King doesn't believe you, and chastises you for meddling.</i>;;16;-10;;del_ravenna;;
;_;748;ravenna;;;;;Perhaps there is... can you forgive me for what I tried to do?;;;;10;8;;;;<i>No one but you knows why the island King and Queen departed so abruptly.</i>;;10;-10;;del_ravenna;;
