thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_money;yes_team;yes_market;yes_mind;yes_custom;override_no;answer_no;no_money;no_team;no_market;no_mind;no_custom
start;st_pitch;19;投资人;phase=1 and turn>=3;del;70;你讲得太细了。一句话说清你们做什么。;一句话;你说了十一个字。他说，再讲讲。;;;6;3;;讲全套;你讲了五十页。他中途接了两个电话。;;;-6;-8;
wind;wd_signal;30;联合创始人;phase=2;del;150;昨天注册涨了四十倍。服务器扛不住了。;加机器;当天加了二十台，还是不够。;-12;;12;;wind_ride_run;先限流;放进来的人少了，但都留下了。;;6;10;;
wind;wd_bigmoney;31;投资人;phase=2 and turn>=6;del;140;两千万，两周内打款。条件是你不能再跟别人谈。;签;打款那天你在群里发了一个字：到。;15;12;;;big_money_keep;再等等;两天后有三家一起找你，价格翻倍。;;;;8;hot_keep
wind;wd_hire50;32;人事;phase=2;del;130;要在一个月内招五十个人。标准还按原来的吗？;按原来的;三个月只招到十九个，但一个没走。;;9;;6;quality_keep;放宽;五十个人一个月到位，其中十一个半年内走了。;;13;14;;fastgrow_keep
wind;wd_competitor;33;市场;phase=2;del;130;对手融了三亿，正在挖我们的人。;涨薪留人;全组涨了四成，账上少了一大块。;-11;12;;;;不跟;走了六个，其中两个是核心。;;-9;-6;;
wind;wd_press;34;记者;phase=2 and market>55;del;120;"想给你做封面。标题是""最年轻的独角兽""。";做;那期杂志你妈买了二十本。;;;11;8;myth_keep;不做;三个月后封面上是你的对手。;;;-8;-6;
wind;wd_windfall;35;财务;phase=2 and money>60;del;135;这个月的钱，比过去三年加起来都多。;发奖金;有人当场哭了，有人当天下午去看车。;-14;14;;;rich_keep;留着;账上很好看。团队在群里没说话。;10;-10;;;
wind;wd_expand;36;联合创始人;phase=2 and turn>=7;del;125;要不要一次开八个城市？现在钱够。;八个;三个月后你在飞机上过了十七个夜。;-12;;17;;expand_keep;开两个;那两个做得很扎实。半年后对手占了另外六个。;;;12;-6;
wind;wd_offer;37;投资人;phase=2 and market>60;del;120;有人想整体收购。价格是你们上一轮的六倍。;卖;所有人分到了钱。你在庆功宴上很早就走了。;18;;;-12;sold_keep;不卖;有四个人那一周递了辞呈。;;-14;;7;refuse_keep
wind;wd_allin;38;;phase=2 and mind>62;del;120;所有钱押一个方向。做成了是行业第一，做不成什么都没有。;押;那天晚上你一个人在办公室待到很晚。;-14;-8;;;allin_run;分散点;三个方向都做了六成，没有一个做透。;-10;;;-14;
ebb;eb_quiet;50;市场;phase=3;del;140;上周注册掉了七成。不是我们的问题，整个行业都这样。;停投放;省下的钱够撑四个月。;10;;-10;;;继续投;花掉一大笔，曲线没有动。;-11;;;-6;
ebb;eb_expand_bill;51;财务;phase=3 and expand_keep;del;150;风口时开的那些城市，六个在亏钱。;关掉;关的那天，有三个城市的负责人自己提了离职。;;-14;-10;;;都留着;每个月多烧一笔，你说再给三个月。;-12;;;4;
ebb;eb_fastgrow_bill;52;人事;phase=3 and fastgrow_keep;del;150;那批快速招的人，一半还不知道自己该干什么。;裁;名单上有两个是你自己面的。;;-11;;-10;layoff_keep;不裁;工资照发，效率上不去。;-9;;-6;;
ebb;eb_rich_bill;53;;phase=3 and rich_keep;del;135;发奖金那阵买车的几个人，现在在还贷。;当没看见;有人开始接私活。;;-10;;-5;;帮一把;你私下垫了钱。这事后来传开了。;-10;8;;;
ebb;eb_investor_cold;54;投资人;phase=3;del;140;下一轮我们观察一下。你们的数据不像上季度了。;理解;他半年后投了你的对手。;;;-6;-8;;追问;他说了实话，比不投更难听。;;;;-12;proved_keep
ebb;eb_cofounder_doubt;55;联合创始人;phase=3 and turn>=11;del;135;我们是不是走错了？我最近有点不确定。;还是这条路;他点点头，但那次之后话变少了。;;-6;;7;;听你说;你们聊到凌晨三点，最后改了方向。;;7;-8;;pivot_keep
cold;cd_payroll;60;财务;phase=4 and money<40;del;170;这个月工资差一大截。;借;借到了，年息很高。;12;;;-8;debt_keep;停项目;停了两个，走了四个人。;;-14;-8;;
cold;cd_lawsuit;61;律师;phase=4;del;155;有人起诉我们抄了他们的东西。风口那阵你说过快点上。;和解;赔了一笔，签了保密。;-16;;;-8;;打;打了十四个月，赢了，但律师费更贵。;-22;;;6;
cold;cd_poach;62;人事;phase=4;del;155;对手来挖人，开的是我们的两倍。;放走;走了五个，其中一个说对不起。;;-16;;-6;;留;涨薪加期权，账上又薄了一层。;-18;9;;;
cold;cd_client_squeeze;63;大客户;phase=4 and market>40;del;150;续约可以，价格再降三成。你们现在也没别的选择。;降;签完你在会议室坐了一会儿。;-12;;;-12;cheap_keep;不降;他走了，带走了你们四成营收。;;;-20;8;
cold;cd_shutdown_line;64;联合创始人;phase=4;del;145;那个我们最喜欢的产品线，一直在亏。;砍;砍的时候团队里没有人说话。;;-10;;-14;;留着;每个月烧一笔，你说它总有一天会对。;-16;;;7;obsess_keep
cold;cd_sell_cheap;65;;phase=4 and money<30;del;160;有人来收，价格是你们最高估值的两成。;卖;签字那天你没有拍照。;14;;;-18;sold_cheap_keep;不卖;你抵了房子，账上多了三个月。;-8;;;9;
mind;md_floor;70;工程师;turn>=4;del;80;我要的零件八万没批。但我看到车间在换地板，两百万。;地板先换;新地板铺完那天，你在车间站了很久。;-14;-10;;;obsess_keep;批零件;地板的事没人再提。;-6;;;-8;
mind;md_cs;71;技术负责人;turn>=6;del;75;团建打游戏。系统把你和两个下属分到了敌对阵营。;照打;你先把他们俩炸了，然后赢了全场。;;-8;;8;obsess_keep;放放水;他们赢得很客气，散场很早。;;2;;-7;
mind;md_bet3y;72;财务;turn>=7;del;80;那个项目做了三年，还是零收入。今年还投吗？;再投;会上没有人说话。;-18;;;10;longbet_keep;停了;负责人当天下午交了辞呈。;;-10;;-12;
mind;md_firecustomer;73;销售;market>50 and turn>=8;del;75;那个客户又骂了我们的工程师。他占四成营收。;不做他了;工程师那天下班时跟你说了声谢谢。;;;-22;11;obsess_keep;忍一下;工程师第二天请了病假。;;-12;;-10;
mind;md_ugly;74;市场;market>45;del;70;客户最想要的那个功能，做出来一定卖。但你说它丑。;不做;对手三个月后做了，卖得很好。;;;-16;9;obsess_keep;做;上线数据很好。你没有打开看。;;;10;-12;
mind;md_3am;75;助理;turn>=7;del;65;你凌晨三点发的那封邮件，八个人回了，四个没回。;问没回的;其中一个说他在陪产。;;-12;;7;obsess_keep;算了;第二天凌晨三点，回复的人变成了十一个。;;-6;;-4;
mind;md_flower;76;行政;turn>=5;del;60;你发现前台那盆花是塑料的。全换真的，每月八千。;全换;后来有人专门为了拍那盆花来面试。;;5;;6;obsess_keep;算了;那盆花还在那儿。;;;;-5;
mind;md_font;77;设计;turn>=6;del;60;你坚持全公司只用一种字体。新来的设计说这不专业。;不改;他改了三版，最后一版用的还是那个字体。;;-6;;7;obsess_keep;让他改;新的确实好看。你每次看到都觉得不对。;;;3;-8;
mind;md_selffix;78;客户;turn>=8;del;70;客户那边半夜出故障。工程师在路上，你也在路上。;自己先到;你到得比工程师早四十分钟，什么也没修好。;;;7;8;obsess_keep;等工程师;他两点二十到，四点修好，没人知道你也起来了。;;;4;-6;
mind;md_daughter;79;;turn>=11;del;60;女儿画了张全家福。画里有妈妈、有奶奶、有猫。;问问她;她说因为你总是不在，画了也不像。;;;;-12;family_keep;收起来;你把那张画放进抽屉最下面。;;;;-6;
mind;md_oldfriend;80;大学同学;turn>=12;del;55;十年没见。他说你变了，但没说是变好还是变坏。;问清楚;他想了很久，说你现在讲话都像在开会。;;;;-10;;换个话题;后来你们聊了两个小时的房价。;;;;-4;
mind;md_longbet_win;81;技术负责人;longbet_keep and turn>=14;del;200;三年前那个项目，昨天有家客户一次性订了两年的量。;我知道;你说这句话的时候声音很平。;15;;12;;proved_keep;运气好;负责人说不是运气。;11;;10;;
mind;md_longbet_dead;82;财务;longbet_keep and turn>=16;del;190;那个项目还是零收入。第四年了。;继续;这次有三个投资人投了反对。;-20;;;9;deaf_keep;认了;设备当废铁卖了六十万。;;-12;;-18;
mind;md_deaf;83;;mind>84;del;180;有个下属说，你最近谁的话都听不进去。;他不懂;三个月后他去了对手那里，带走两个人。;;-14;;4;deaf_keep;想一想;你把上周三个决定重看了一遍，其中一个确实错了。;;5;;-14;
mind;md_hollow;84;;mind<28;del;180;你今天批了十一份文件，没有一份是你想做的事。;照批;第十二份你签得比前十一份都快。;;;3;-10;hollow_run;停一下;你在那份文件上坐了四十分钟，最后什么也没写。;;;-6;7;
daily;dy_price;100;销售;;40;16;要不要涨价。我们现在是同行里最便宜的。;涨;走了两成客户，赚的比以前多。;9;;-10;;;不涨;你们永远是那个便宜的。;;;4;-6;
daily;dy_bonus;101;人事;;50;16;这个季度做得好。发奖金还是发假？;发假;那一周办公室是空的，回来之后人是满的。;;10;-6;;;发钱;有人当天下午去看了车。;-12;6;;;
daily;dy_bigclient;102;客户;;45;16;我们可以下大单，但要独家。;给独家;单子很大。你们从此只有一个出口。;10;;-10;;exclusive_keep;不给;他签了小单，也没走。;;;4;3;
daily;dy_reject;103;;;55;15;有个人很想来，能力很强，但你不喜欢他。;还是招;半年后他做出了成绩，你还是不喜欢他。;;7;;-8;;不招;他去了对手那里。;;-5;-6;;
daily;dy_feature;104;技术负责人;;50;15;有个功能只有三个客户要，做起来要一个月。;做;那三个客户后来带来了十一个。;-8;;7;;;不做;他们其中一个走了。;;;-6;;
daily;dy_overtime;105;人事;;45;15;项目要赶，这周末加班吗？;加;赶上了。周一有两个人请了病假。;;-12;7;;crunch_keep;不加;延期三天，客户没说什么。;;6;-6;;
daily;dy_partner;106;;;60;14;有家大公司想合作，出钱出渠道。但要冠名。;合作;渠道很好用。你们的名字变小了。;;;9;-10;;自己做;慢一点，但都是自己的。;-6;;;4;
daily;dy_pr;107;市场;;55;14;要不要请公关公司。一年一百二十万。;请;稿子发得很密。你看不出效果。;-12;;;-5;;不请;你自己写了三篇，其中一篇很多人转。;;;4;4;
daily;dy_office_move;108;行政;;65;13;要不要搬去更好的办公楼。房租翻一倍。;搬;新地方有落地窗，招人容易了。;-14;7;;;;不搬;省下的钱够多招三个人。;5;;;-5;
daily;dy_share;109;联合创始人;;70;13;股份要不要重新分？现在的比例是当年随手定的。;重新分;谈了三周，最后每个人都少了一点。;;-8;;3;;不动;有人心里记着这件事。;;-6;;;grudge_keep
daily;dy_award;110;;;60;13;有个行业奖可以买，二十万。放在官网上挺好看。;买;没有人知道是买的。;-8;;;-8;;不买;官网上那一栏是空的。;;;;3;
daily;dy_intern;111;技术负责人;;55;13;有个实习生写的东西比正式员工好。;提前签;给的钱不多，他后来成了骨干。;-5;9;;;;等毕业;他毕业时手上有五个offer。;;-6;;;
daily;dy_refund;112;客户;;50;13;你们的东西没达到我的预期。我要退款。;退;他后来又回来了一次。;-10;;5;;;不退;他在网上写了很长一篇。;;;-12;-5;
daily;dy_media_bad;113;记者;;65;12;有前员工说你们加班严重。内容基本是真的。;认;你写了一条回应，说以后会改。;;6;-8;;;不理;那篇文章挂了很久。;;-8;-10;;
daily;dy_supplier;114;供应商;;45;13;这个月的货款能不能先结一半。;先结;他下个月给了你老价格。;-10;;4;;;下个月;他说行，但语气不太好。;;;-5;;
daily;dy_health;115;;;70;12;体检报告出来了，几项指标不太好。;停两周;第九天你在群里发了消息。;;;-5;6;;不停;你把报告收进了抽屉。;;;;-8;
endings;ed_money_zero;900;财务;money=0;;1000000;账上还剩两万三。这个月工资是六十八万。;我知道了;那我去跟大家说。;;;;;end_关门;还有办法吗;没有了。我一个月前就说过。;;;;;end_关门
endings;ed_money_max;901;投资人;money=100;;1000000;账上趴着很多钱，两年没动。风口那阵你没押。;明年吧;明年这个数字不值现在这么多。;;;;;end_躺在钱上;我在等时机;时机是等出来的，还是做出来的？;;;;;end_躺在钱上
endings;ed_team_zero;902;人事;team=0;;1000000;最后两个人今天办完离职。;那你呢;我的信也在你桌上。;;;;;end_人走空;总会有人来;招聘挂了七个月，没人投。;;;;;end_人走空
endings;ed_team_max;903;财务;team=100;;1000000;两百个人，上季度人力成本吃掉了全部毛利。;养得起;养不起。这是数学。;;;;;end_全在开会;谁都不能动;那就一起等着发不出工资。;;;;;end_全在开会
endings;ed_market_zero;904;市场;market=0;;1000000;后台昨天的活跃是十一个。;还有十一个;其中八个是我们自己人。;;;;;end_没人要;做点活动;预算上个月就停了。;;;;;end_没人要
endings;ed_market_max;905;技术负责人;market=100;;1000000;订单排到两年后。退款单堆到门口了。;继续接;签一单，赔两单。;;;;;end_接不过来;先停;停不了，合同都签了。;;;;;end_接不过来
endings;ed_mind_zero;906;投资人;mind=0;;1000000;你最近的决定都很稳。稳到我们觉得换个人也能做。;那就换;下周一交接。;;;;;end_交给专业的人;我会调整;这话你去年也说过。;;;;;end_交给专业的人
endings;ed_mind_max;907;联合创始人;mind=100;;1000000;所有人都劝过你了。你真的一个字都没听。;我知道我对;那我陪你梭。;;;;;end_一把梭;再想想;你嘴上说再想想，手已经签了。;;;;;end_一把梭
endings;ed_ipo;910;投资人;turn>=18 and money>=50 and team>=34 and market>=44;;2410;敲钟的日子定了。下个月八号。;那就敲;台上你站在中间，照片里所有人都在笑。;;;;;end_敲钟;我再想想;时间不等人，窗口就这几个月。;;;;;end_敲钟
endings;ed_acquired;911;;turn>=18 and money>=27 and team>=34 and market>=38 and money<50;;2400;有家大公司要收，价格是你们最高估值的三倍。;卖;所有人都分到了钱。你在庆功宴上很早就走了。;;;;;end_卖掉了;不卖;董事会当天下午重新算了一次票数。;;;;;end_卖掉了
endings;ed_replaced;912;投资人;turn>=18 and money<27 and !debt_keep;;2400;下一轮我们可以投，但要换个 CEO。;接受;新来的那个人很专业，第一件事是砍掉你最喜欢的产品线。;;;;;end_融资换帅;不接受;那这笔钱就不投了。你有三个月。;;;;;end_融资换帅
endings;ed_cofounder_out;913;联合创始人;turn>=18 and money>=27 and team<34;;2400;我带一部分人出去做。你别拦我。;不拦;走的那天他们把工牌留在了桌上，摆得很整齐。;;;;;end_联创出走;拦;拦下来了。但那之后你们没再一起吃过饭。;;;;;end_联创出走
endings;ed_debt_sell;914;;turn>=18 and money<27 and debt_keep;;2400;债主同意展期，条件是把公司抵给他们。;签;签完那天你在楼下抽了很久的烟。;;;;;end_卖身还债;不签;第二天他们把资产冻结了。;;;;;end_卖身还债
endings;ed_survive;915;联合创始人;turn>=18 and money>=27 and team>=34;;2300;三年了。我们还开着。;还开着;那天晚上你们在楼下吃了顿很便宜的饭。;;;;;end_还开着;有点累;他说他也是。;;;;;end_还开着
